Area,Branch,Total,No Employed Person,"Below $5,000","$5,000 - $9,999","$10,000 - $14,999","$15,000 - $19,999","$20,000 & Over"
Marine Parade,KT Branch,17069,3552,3005,2492,1817,1434,4770
Queenstown,HV Branch,37053,7776,8496,6715,4953,3654,5460
