Branch,Level,Area,Age_Total,Children_Teens_0_19,Children_Teens_0_19_pct,Young_Adults_20_39,Young_Adults_20_39_pct,Middle_Aged_40_59,Middle_Aged_40_59_pct,Older_Adults_60_69,Older_Adults_60_69_pct,Elderly_70plus,Elderly_70plus_pct,Chinese,Chinese_pct,Malay,Malay_pct,Indian,Indian_pct,Others_Ethnic,Others_Ethnic_pct,HDB,Public_Housing_pct,Private_Housing,Private_Housing_pct,Condo_Apartment,Condo_Apartment_pct,Landed,Landed_pct,Others_Dwelling,Others_Dwelling_pct
KT,Planning Area,Marine Parade,46220,9090,19.6668109043704,10350,22.3929035049762,14590,31.566421462570315,5580,12.072695802682821,6610,14.30116832540026,35050,75.832972739074,3120,6.750324534833406,5510,11.921246213760277,2530,5.47382085677196,19470.0,42.12462137602769,26320.0,56.945045434876675,17070.0,36.93206404154046,9250.0,20.01298139333622,430.0,0.9303331890956297
KT,Subzone,Katong,9360,1880,20.085470085470085,2220,23.717948717948715,3090,33.01282051282051,1100,11.752136752136751,1090,11.645299145299145,8050,86.00427350427351,110,1.1752136752136753,650,6.944444444444445,550,5.876068376068376,0.0,0.0,9120.0,97.43589743589743,4950.0,52.88461538461539,4170.0,44.55128205128205,240.0,2.564102564102564
HV,Planning Area,Queenstown,95930,16570,17.27301157093714,24350,25.383091837798393,28430,29.636193057437715,11980,12.488272698842906,14590,15.209006567288649,78220,81.5386219118107,6940,7.234441780464923,7060,7.359532992807255,3710,3.867403314917127,79040.0,82.39341186281663,15450.0,16.10549358907537,11910.0,12.415302824976546,3540.0,3.690190764098822,1460.0,1.5219430834983843
HV,Subzone,Holland Drive,12680,1530,12.066246056782335,2900,22.87066246056782,3900,30.757097791798106,1710,13.485804416403784,2630,20.741324921135647,10630,83.83280757097792,960,7.570977917981073,620,4.889589905362776,460,3.627760252365931,12630.0,99.60567823343848,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.31545741324921134
